STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc
-2,2591.132,36.65098252,0.746251148,31.818,148.718,7.888874802,0.183910742,27.35083778,43.85952763,4.919508864
-2,3442.316,36.60543996,0.992627266,32.114,247.876,2.955165314,0.14658764,36.33555778,30.09949466,3.567421355
-2,4302.895,36.60543996,1.240784082,32.114,247.876,4.950145373,0.18323455,45.41944722,45.02131337,4.99392065
-2,6728.935,35.14761646,2.020838235,41.589,523.833,1.503042966,0.135592159,71.02764722,30.28264371,3.525372704
-2,8411.169,35.14761646,2.526047869,41.589,523.833,2.815903797,0.169490203,88.78456167,45.53974888,5.489902567
-2,3593.145,36.53558752,1.038101321,32.568,286.194,2.945570815,0.132524238,37.92764167,30.58142762,3.653150394
-2,4491.432,36.53558752,1.297626868,32.568,286.194,5.200420692,0.165655325,47.40956,43.9353262,5.611649626
-2,3737.866,36.16632352,1.090938984,15.032,278.136,2.401181544,0.141855971,39.45525222,30.44545032,3.111769492
-2,4672.333,36.16632352,1.363673875,15.032,278.136,4.776880448,0.177319982,49.31907056,43.63320037,5.399358788
-2,7211.307,37.61091506,2.023863327,25.579,521.341,1.336855732,0.146006839,76.11935167,29.31694671,3.471050126
1,9014.134,37.61091506,2.529829228,25.579,521.341,2.352364997,0.182508554,95.14919222,44.07136756,5.078708506
-2,9660.581,36.23125244,2.814498329,34.546,711.771,1.084395444,0.143266303,101.9727994,30.32590536,3.646349147
-2,12075.727,36.23125244,3.51812313,34.546,711.771,1.781409003,0.179082889,127.4660072,45.12189516,5.032348309
-2,10749.02,34.79019968,3.261317234,43.912,823.936,0.938017316,0.137707149,113.4618778,29.9713163,3.551035431
-2,13436.275,34.79019968,4.076646542,43.912,823.936,1.625774244,0.172133937,141.8273472,43.58630307,5.290176775
-2,11194.515,34.2643062,3.448612802,47.33,872.017,1.06574289,0.135506905,118.164325,31.67205321,3.976148573
1,13993.144,34.2643062,4.310766079,47.33,872.017,1.575184523,0.169383635,147.7054089,44.17331867,5.267054435
-2,10492.006,33.60147732,3.295954852,51.638,837.372,0.947409704,0.132257769,110.7489522,29.62726936,3.541488443
-2,13115.007,33.60147732,4.119943408,51.638,837.372,1.578531625,0.165322204,138.436185,43.75692203,4.994087471
-2,9113.546,34.11998552,2.819419166,48.268,719.023,1.100613377,0.133790631,96.19854111,30.1526012,3.51138532
-2,11391.933,34.11998552,3.524274112,48.268,719.023,1.895971227,0.167238297,120.2481817,44.95149286,5.071846963
-2,6724.448,34.33231232,2.067448408,46.888,537.798,1.376549686,0.131983169,70.98028444,29.87751955,3.270281125
-2,8405.561,34.33231232,2.584310817,46.888,537.798,2.681290154,0.164978981,88.72536611,43.78223205,5.433675704
-2,3656.877,36.02107968,1.071604979,35.912,295.654,2.792032089,0.130559263,38.60036833,29.68822161,3.630175915
1,4571.096,36.02107968,1.33950615,35.912,295.654,4.465705885,0.16319907,48.25045778,43.31041886,4.975069716
-2,3575.401,36.43480922,1.035832071,16.777,267.379,2.630721162,0.141149245,37.74034389,29.6994382,3.342969678
-2,4469.251,36.43480922,1.294790016,16.777,267.379,4.644118748,0.176436546,47.17542722,44.75181171,4.89562942
-2,7046.194,37.2584218,1.996233029,27.87,514.412,1.426822691,0.144585453,74.37649222,29.84333846,3.555971694
-2,8807.742,37.2584218,2.495291145,27.87,514.412,2.468450874,0.180731806,92.97061,45.29412652,5.066736046
-2,9397.797,35.7944439,2.771351012,37.385,702.016,1.060765129,0.141305851,99.19896833,30.38137861,3.463529677
-2,11747.247,35.7944439,3.464188986,37.385,702.016,1.978607959,0.176632325,123.9987183,43.56391232,5.631836949
-2,10535.239,34.19168428,3.252407797,47.802,824.067,0.904075358,0.134946916,111.2053006,30.93583481,3.249887148
1,13169.049,34.19168428,4.065509824,47.802,824.067,1.607371487,0.168683649,139.0066283,44.21855052,5.052976369
-2,10969.202,33.78749406,3.42688987,50.429,868.548,0.988868291,0.13330987,115.7860211,31.61915972,3.62113117
1,13711.503,33.78749406,4.283612493,50.429,868.548,1.728475331,0.166637344,144.7325317,44.10728497,5.671775326
-2,10217.149,32.98296012,3.269800027,55.658,833.346,1.082730247,0.129415254,107.8476839,30.71305577,3.801964554
1,12771.437,32.98296012,4.087250274,55.658,833.346,1.697470741,0.161769076,134.8096128,43.89444924,5.213310049
-2,8917.671,33.53224032,2.80717813,52.088,717.908,1.082476654,0.131118433,94.13097167,30.12177578,3.382754722
-2,11147.088,33.53224032,3.508972426,52.088,717.908,2.005243461,0.16389803,117.6637067,44.16729841,5.342060458
